t[s](1)           t[s/mm2](2)       r[mm](3)          r/rd[-](4)        T[K](5)           Tfib[K](6)        v[m/s](7)         dummy(8)          NC7H16_w(9)       
4.401213747e-05   8.982068871e-05   3.352524514e-01   9.580106000e-01   3.000024008e+02   3.000000000e+02   7.801217998e-07   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   3.392530048e-01   9.694425000e-01   3.000402908e+02   3.000000000e+02   9.169554407e-06   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   3.430270727e-01   9.802272000e-01   3.004602504e+02   3.000000000e+02   6.339211567e-05   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   3.465875684e-01   9.904016000e-01   3.032030838e+02   3.000000000e+02   1.925500926e-04   0.000000000e+00   1.000000000e+00   
4.401213747e-05   8.982068871e-05   3.499464948e-01   1.000000000e+00   3.110885590e+02   4.520000000e+02   4.848560200e-05   0.000000000e+00   1.000000000e+00   

4.804485347e-04   9.805072138e-04   1.000000000e-13   2.857338099e-13   3.000000000e+02   3.000000000e+02   -2.098290190e-23  0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   2.297904123e-02   6.565889000e-02   3.000000000e+02   3.000000000e+02   -6.994300635e-24  0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   4.465736835e-02   1.276012000e-01   3.000000000e+02   3.000000000e+02   -3.548832909e-24  0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   6.510864082e-02   1.860374000e-01   3.000000000e+02   3.000000000e+02   -2.179578368e-24  0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   8.440229739e-02   2.411659000e-01   3.000000000e+02   3.000000000e+02   -1.495747655e-24  0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   1.026038536e-01   2.931739000e-01   3.000000000e+02   3.000000000e+02   -1.104041602e-24  0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   1.197751152e-01   3.422380000e-01   3.000000000e+02   3.000000000e+02   -8.580244997e-25  0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   1.359744582e-01   3.885250000e-01   3.000000000e+02   3.000000000e+02   -6.929216581e-25  0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   1.512568289e-01   4.321919000e-01   3.000000000e+02   3.000000000e+02   -5.764372383e-25  0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   1.656741637e-01   4.733871000e-01   3.000000000e+02   3.000000000e+02   -4.910260220e-25  0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   1.792754243e-01   5.122505000e-01   3.000000000e+02   3.000000000e+02   -4.329365933e-25  0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   1.921068074e-01   5.489141000e-01   3.000000000e+02   3.000000000e+02   -7.296519688e-25  0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   2.042118502e-01   5.835023000e-01   3.000000000e+02   3.000000000e+02   -1.207680021e-23  0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   2.156317449e-01   6.161328000e-01   3.000000000e+02   3.000000000e+02   -2.204270699e-22  0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   2.264051987e-01   6.469162000e-01   3.000000000e+02   3.000000000e+02   2.157036303e-21   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   2.365688541e-01   6.759572000e-01   3.000000000e+02   3.000000000e+02   4.704224115e-19   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   2.461572189e-01   7.033544000e-01   3.000000000e+02   3.000000000e+02   1.917519455e-17   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   2.552028408e-01   7.292008000e-01   3.000000000e+02   3.000000000e+02   4.207856264e-16   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   2.637364476e-01   7.535842000e-01   3.000000000e+02   3.000000000e+02   8.046173015e-15   0.000000000e+00   1.000000000e+00   
