t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    TMax[K](6)        DTMax[mm](7)      DTMax/D[-](8)     OHMax[-](9)       DOHMax[mm](10)    DOHMax/D[-](11)    fvMax[-](12)      DfvMax[mm](13)    DfvMax/D[-](14)    
5.053450962e-05   9.829914590e-05   7.170156661e-01   5.141114654e-01   1.000043699e+00   1.579750800e+03   2.154378504e+00   3.004646350e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.117694597e-05   9.954880570e-05   7.170159104e-01   5.141118158e-01   1.000044381e+00   1.577987419e+03   2.143718865e+00   2.989778656e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.246181868e-05   1.020481253e-04   7.170163994e-01   5.141125171e-01   1.000045745e+00   1.574542710e+03   2.122569516e+00   2.960280292e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.324701867e-05   1.035754873e-04   7.170166986e-01   5.141129461e-01   1.000046580e+00   1.572496144e+03   2.112079806e+00   2.945649397e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.435343684e-05   1.057276791e-04   7.170171203e-01   5.141135508e-01   1.000047756e+00   1.569686951e+03   2.081276410e+00   2.902687191e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.553123682e-05   1.080187221e-04   7.170175696e-01   5.141141951e-01   1.000049009e+00   1.566815332e+03   2.021772580e+00   2.819697405e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.578107318e-05   1.085047009e-04   7.170176649e-01   5.141143318e-01   1.000049275e+00   1.566223814e+03   2.012092722e+00   2.806196863e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.619151863e-05   1.093030947e-04   7.170178219e-01   5.141145569e-01   1.000049713e+00   1.565259256e+03   2.012092722e+00   2.806196249e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.690533680e-05   1.106916055e-04   7.170180945e-01   5.141149478e-01   1.000050473e+00   1.563607712e+03   2.002567018e+00   2.792910017e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.797606406e-05   1.127743719e-04   7.170185031e-01   5.141155337e-01   1.000051613e+00   1.561187673e+03   1.993041315e+00   2.779623268e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
